交收日期,业务标示,证券代码,证券名称,成交价格,成交数量,模拟初始金额42万左右
20250106,证券买入,601666,平煤股份,9.48,3000,
20250106,证券买入,2327,富安娜,8.65,3200,
20250107,证券卖出,2327,富安娜,9.2,3000,
20250108,证券买入,600507,方大特钢,3.93,5000,
20250108,证券买入,2327,富安娜,8.86,3100,
20250110,证券买入,601666,平煤股份,8.98,3000,
20250113,证券卖出,600507,方大特钢,4.14,5000,
20250114,证券卖出,600507,方大特钢,4.27,5000,
20250114,证券买入,601666,平煤股份,8.96,3100,
20250117,证券卖出,601666,平煤股份,9.05,3000,
20250120,证券买入,600188,兖矿能源,13.37,2000,
20250121,证券买入,2327,富安娜,8.73,3000,
20250124,证券买入,600256,广汇能源,6.04,4000,
20250124,证券买入,2327,富安娜,8.68,3000,
20250127,证券卖出,601666,平煤股份,9.05,3000,
20250206,证券买入,2327,富安娜,8.58,3000,
20250210,证券卖出,2327,富安娜,8.83,3000,
20250213,证券卖出,600256,广汇能源,6.22,4000,
20250224,证券买入,2327,富安娜,8.13,4000,
20250227,证券买入,601666,平煤股份,8.7,3000,
20250305,证券买入,601666,平煤股份,8.36,3000,
20250306,证券卖出,601666,平煤股份,8.49,3000,
20250306,证券卖出,600507,方大特钢,4.37,5000,
20250311,证券买入,600256,广汇能源,6.23,3200,
20250314,证券卖出,2327,富安娜,8.35,3000,
20250314,证券卖出,600188,兖矿能源,13.6,2000,
20250314,证券卖出,601666,平煤股份,8.94,3000,
20250314,证券卖出,600256,广汇能源,6.28,3200,
20250317,证券卖出,2327,富安娜,8.53,3000,
20250321,证券买入,2327,富安娜,8.38,3300,
20250327,证券卖出,601666,平煤股份,8.82,3000,
20250402,配售股份,732210,泰鸿申购,8.6,500,
20250402,证券买入,601666,平煤股份,8.73,3100,
20250402,证券买入,601666,平煤股份,8.77,3000,
20250402,证券买入,601006,大秦铁路,6.54,3300,
20250403,证券买入,600256,广汇能源,6.05,4000,
20250408,中签股份下账,732210,泰鸿申购,8.6,500,
20250408,新股入账,603210,泰鸿万立,8.6,500,
20250409,证券卖出,603210,N泰鸿万立,33.67,500,
20250410,证券买入,600507,方大特钢,4.06,5000,
20250410,证券买入,600256,广汇能源,5.55,4100,
20250417,证券买入,2327,富安娜,8.36,3100,
20250418,证券卖出,601006,大秦铁路,6.78,3300,
20250418,证券买入,601666,平煤股份,8.48,3000,
20250425,证券卖出,600507,方大特钢,4.5,5000,
20250508,证券买入,600256,广汇能源,5.81,4000,
20250512,证券买入,601666,平煤股份,8.27,3000,
20250530,证券卖出,600256,广汇能源,5.93,4000,
20250605,证券卖出,601666,平煤股份,8.52,6000,
20250606,证券卖出,601666,平煤股份,8.63,3000,
20250606,证券卖出,600256,广汇能源,5.99,8100,
20250606,证券卖出,2327,富安娜,8.41,6400,
20250613,证券买入,601666,平煤股份,7.63,3000,
20250616,证券买入,2327,富安娜,7.62,3000,
20250619,证券买入,601666,平煤股份,7.5,3000,
20250630,证券买入,601666,平煤股份,7.38,3000,
20250703,证券买入,600507,方大特钢,4.77,3000,
20250703,证券买入,601006,大秦铁路,6.56,3000,
20250704,证券卖出,600507,方大特钢,4.8,6600,
20250709,证券卖出,601006,大秦铁路,6.69,3000,
20250714,证券买入,601006,大秦铁路,6.5,3000,
20250717,证券买入,2327,富安娜,7.3,3400,
20250721,证券卖出,601666,平煤股份,8.02,6000,
20250722,证券买入,2327,富安娜,7.23,2600,
20250722,证券卖出,601666,平煤股份,8.78,4000,
20250724,证券卖出,601666,平煤股份,9.08,4000,
20250725,证券买入,2327,富安娜,7.35,4000,
20250725,证券卖出,601666,平煤股份,9.07,2300,
20250728,证券卖出,601006,大秦铁路,6.67,3000,
20250729,证券买入,601666,平煤股份,8.28,2300,
20250730,证券卖出,601666,平煤股份,8.4,2300,
20250731,配售股份,732406,天富申购,23.6,500,
20250731,证券买入,601666,平煤股份,7.96,2500,
20250801,证券卖出,601666,平煤股份,8.04,2500,
20250805,证券买入,600256,广汇能源,5.45,5000,
20250805,证券买入,2327,富安娜,7.25,3000,
20250806,证券买入,601006,大秦铁路,6.51,3300,
20250807,中签股份下账,732406,天富申购,23.6,500,
20250807,新股入账,603406,天富龙,23.6,500,
20250808,证券卖出,603406,N天富龙,73.88,500,
20250815,证券买入,600256,广汇能源,5.4,3300,
20250820,证券买入,601006,大秦铁路,6.39,3000,
20250821,证券买入,983,山西焦煤,7.2,5000,
20250827,证券买入,2818,富森美,12.13,3300,
20250901,证券买入,601666,平煤股份,7.73,3300,
20250904,证券买入,600256,广汇能源,4.99,4000,
20250905,证券买入,601666,平煤股份,7.62,3000,
20250905,证券买入,2327,富安娜,7.3,3000,
20250910,证券卖出,601666,平煤股份,7.79,6300,
20250910,证券买入,600256,广汇能源,5.02,4000,
20250912,证券卖出,2818,富森美,12.4,3300,
20250919,证券卖出,983,山西焦煤,7.31,5000,
20250922,证券买入,2818,富森美,12.08,3000,
20250922,证券买入,1965,招商公路,9.61,4000,
20250923,证券买入,601006,大秦铁路,6.02,3000,
20250925,证券买入,2327,富安娜,7.05,3300,
20250925,证券买入,600256,广汇能源,4.99,4000,
20250925,证券买入,1965,招商公路,9.72,3000,
20250929,证券卖出,1965,招商公路,9.88,7000,
20251010,证券买入,601006,大秦铁路,5.84,3300,
20251013,证券买入,2327,富安娜,7.05,3000,
20251014,证券买入,601006,大秦铁路,5.84,3000,
20251014,证券买入,600256,广汇能源,5.26,3000,
20251021,证券买入,601006,大秦铁路,5.88,2200,
20251027,证券卖出,600256,广汇能源,5.3,12000,
20251030,证券卖出,600256,广汇能源,5.37,11300,
20251031,证券买入,2327,富安娜,7.15,4000,
20251104,证券买入,601006,大秦铁路,5.76,3000,
20251106,证券买入,601006,大秦铁路,5.73,3000,
20251106,证券买入,2327,富安娜,7.26,3000,
20251113,证券卖出,2327,富安娜,7.35,12000,
20251118,证券买入,601006,大秦铁路,5.66,4000,
20251118,证券卖出,2327,富安娜,7.37,10000,
20251124,证券卖出,2327,富安娜,7.3,7000,
20251126,证券买入,2818,富森美,10.98,3000,
20251126,证券买入,601006,大秦铁路,5.54,4000,
20251203,证券买入,600256,广汇能源,4.99,10000,
20251210,证券买入,2327,富安娜,6.97,8000,
20260126,证券卖出,600256,广汇能源,5.53,10000,
20260127,证券卖出,2818,富森美,11.6,3000,
20260130,证券卖出,2818,富森美,11.71,3000,
20260130,证券买入,601006,大秦铁路,5.05,5000,
20260202,证券买入,2327,富安娜,6.95,5000,
20260304,证券卖出,601006,大秦铁路,5.13,5000,
20260325,证券买入,601006,大秦铁路,5.25,5000,
20260325,证券买入,601166,兴业银行,18.61,3000,
20260410,证券买入,1965,招商公路,8.71,1500,
