investor_id,type_id,type_label
T1_01,T1,长线分散
T1_02,T1,长线分散
T1_03,T1,长线分散
T1_04,T1,长线分散
T1_05,T1,长线分散
T1_06,T1,长线分散
T1_07,T1,长线分散
T1_08,T1,长线分散
T1_09,T1,长线分散
T1_10,T1,长线分散
T1_11,T1,长线分散
T1_12,T1,长线分散
T1_13,T1,长线分散
T1_14,T1,长线分散
T1_15,T1,长线分散
T1_16,T1,长线分散
T1_17,T1,长线分散
T1_18,T1,长线分散
T1_19,T1,长线分散
T1_20,T1,长线分散
T1_21,T1,长线分散
T1_22,T1,长线分散
T1_23,T1,长线分散
T1_24,T1,长线分散
T1_25,T1,长线分散
T1_26,T1,长线分散
T1_27,T1,长线分散
T1_28,T1,长线分散
T1_29,T1,长线分散
T1_30,T1,长线分散
T1_31,T1,长线分散
T1_32,T1,长线分散
T1_33,T1,长线分散
T1_34,T1,长线分散
T1_35,T1,长线分散
T1_36,T1,长线分散
T1_37,T1,长线分散
T1_38,T1,长线分散
T1_39,T1,长线分散
T1_40,T1,长线分散
T1_41,T1,长线分散
T1_42,T1,长线分散
T1_43,T1,长线分散
T1_44,T1,长线分散
T1_45,T1,长线分散
T1_46,T1,长线分散
T1_47,T1,长线分散
T1_48,T1,长线分散
T1_49,T1,长线分散
T1_50,T1,长线分散
T2_01,T2,长线集中
T2_02,T2,长线集中
T2_03,T2,长线集中
T2_04,T2,长线集中
T2_05,T2,长线集中
T2_06,T2,长线集中
T2_07,T2,长线集中
T2_08,T2,长线集中
T2_09,T2,长线集中
T2_10,T2,长线集中
T2_11,T2,长线集中
T2_12,T2,长线集中
T2_13,T2,长线集中
T2_14,T2,长线集中
T2_15,T2,长线集中
T2_16,T2,长线集中
T2_17,T2,长线集中
T2_18,T2,长线集中
T2_19,T2,长线集中
T2_20,T2,长线集中
T2_21,T2,长线集中
T2_22,T2,长线集中
T2_23,T2,长线集中
T2_24,T2,长线集中
T2_25,T2,长线集中
T2_26,T2,长线集中
T2_27,T2,长线集中
T2_28,T2,长线集中
T2_29,T2,长线集中
T2_30,T2,长线集中
T2_31,T2,长线集中
T2_32,T2,长线集中
T2_33,T2,长线集中
T2_34,T2,长线集中
T2_35,T2,长线集中
T2_36,T2,长线集中
T2_37,T2,长线集中
T2_38,T2,长线集中
T2_39,T2,长线集中
T2_40,T2,长线集中
T2_41,T2,长线集中
T2_42,T2,长线集中
T2_43,T2,长线集中
T2_44,T2,长线集中
T2_45,T2,长线集中
T2_46,T2,长线集中
T2_47,T2,长线集中
T2_48,T2,长线集中
T2_49,T2,长线集中
T2_50,T2,长线集中
T3_01,T3,短线高频
T3_02,T3,短线高频
T3_03,T3,短线高频
T3_04,T3,短线高频
T3_05,T3,短线高频
T3_06,T3,短线高频
T3_07,T3,短线高频
T3_08,T3,短线高频
T3_09,T3,短线高频
T3_10,T3,短线高频
T3_11,T3,短线高频
T3_12,T3,短线高频
T3_13,T3,短线高频
T3_14,T3,短线高频
T3_15,T3,短线高频
T3_16,T3,短线高频
T3_17,T3,短线高频
T3_18,T3,短线高频
T3_19,T3,短线高频
T3_20,T3,短线高频
T3_21,T3,短线高频
T3_22,T3,短线高频
T3_23,T3,短线高频
T3_24,T3,短线高频
T3_25,T3,短线高频
T3_26,T3,短线高频
T3_27,T3,短线高频
T3_28,T3,短线高频
T3_29,T3,短线高频
T3_30,T3,短线高频
T3_31,T3,短线高频
T3_32,T3,短线高频
T3_33,T3,短线高频
T3_34,T3,短线高频
T3_35,T3,短线高频
T3_36,T3,短线高频
T3_37,T3,短线高频
T3_38,T3,短线高频
T3_39,T3,短线高频
T3_40,T3,短线高频
T3_41,T3,短线高频
T3_42,T3,短线高频
T3_43,T3,短线高频
T3_44,T3,短线高频
T3_45,T3,短线高频
T3_46,T3,短线高频
T3_47,T3,短线高频
T3_48,T3,短线高频
T3_49,T3,短线高频
T3_50,T3,短线高频
T4_01,T4,短线投机
T4_02,T4,短线投机
T4_03,T4,短线投机
T4_04,T4,短线投机
T4_05,T4,短线投机
T4_06,T4,短线投机
T4_07,T4,短线投机
T4_08,T4,短线投机
T4_09,T4,短线投机
T4_10,T4,短线投机
T4_11,T4,短线投机
T4_12,T4,短线投机
T4_13,T4,短线投机
T4_14,T4,短线投机
T4_15,T4,短线投机
T4_16,T4,短线投机
T4_17,T4,短线投机
T4_18,T4,短线投机
T4_19,T4,短线投机
T4_20,T4,短线投机
T4_21,T4,短线投机
T4_22,T4,短线投机
T4_23,T4,短线投机
T4_24,T4,短线投机
T4_25,T4,短线投机
T4_26,T4,短线投机
T4_27,T4,短线投机
T4_28,T4,短线投机
T4_29,T4,短线投机
T4_30,T4,短线投机
T4_31,T4,短线投机
T4_32,T4,短线投机
T4_33,T4,短线投机
T4_34,T4,短线投机
T4_35,T4,短线投机
T4_36,T4,短线投机
T4_37,T4,短线投机
T4_38,T4,短线投机
T4_39,T4,短线投机
T4_40,T4,短线投机
T4_41,T4,短线投机
T4_42,T4,短线投机
T4_43,T4,短线投机
T4_44,T4,短线投机
T4_45,T4,短线投机
T4_46,T4,短线投机
T4_47,T4,短线投机
T4_48,T4,短线投机
T4_49,T4,短线投机
T4_50,T4,短线投机
T5_01,T5,中线均衡
T5_02,T5,中线均衡
T5_03,T5,中线均衡
T5_04,T5,中线均衡
T5_05,T5,中线均衡
T5_06,T5,中线均衡
T5_07,T5,中线均衡
T5_08,T5,中线均衡
T5_09,T5,中线均衡
T5_10,T5,中线均衡
T5_11,T5,中线均衡
T5_12,T5,中线均衡
T5_13,T5,中线均衡
T5_14,T5,中线均衡
T5_15,T5,中线均衡
T5_16,T5,中线均衡
T5_17,T5,中线均衡
T5_18,T5,中线均衡
T5_19,T5,中线均衡
T5_20,T5,中线均衡
T5_21,T5,中线均衡
T5_22,T5,中线均衡
T5_23,T5,中线均衡
T5_24,T5,中线均衡
T5_25,T5,中线均衡
T5_26,T5,中线均衡
T5_27,T5,中线均衡
T5_28,T5,中线均衡
T5_29,T5,中线均衡
T5_30,T5,中线均衡
T5_31,T5,中线均衡
T5_32,T5,中线均衡
T5_33,T5,中线均衡
T5_34,T5,中线均衡
T5_35,T5,中线均衡
T5_36,T5,中线均衡
T5_37,T5,中线均衡
T5_38,T5,中线均衡
T5_39,T5,中线均衡
T5_40,T5,中线均衡
T5_41,T5,中线均衡
T5_42,T5,中线均衡
T5_43,T5,中线均衡
T5_44,T5,中线均衡
T5_45,T5,中线均衡
T5_46,T5,中线均衡
T5_47,T5,中线均衡
T5_48,T5,中线均衡
T5_49,T5,中线均衡
T5_50,T5,中线均衡
T6_01,T6,被动ETF
T6_02,T6,被动ETF
T6_03,T6,被动ETF
T6_04,T6,被动ETF
T6_05,T6,被动ETF
T6_06,T6,被动ETF
T6_07,T6,被动ETF
T6_08,T6,被动ETF
T6_09,T6,被动ETF
T6_10,T6,被动ETF
T6_11,T6,被动ETF
T6_12,T6,被动ETF
T6_13,T6,被动ETF
T6_14,T6,被动ETF
T6_15,T6,被动ETF
T6_16,T6,被动ETF
T6_17,T6,被动ETF
T6_18,T6,被动ETF
T6_19,T6,被动ETF
T6_20,T6,被动ETF
T6_21,T6,被动ETF
T6_22,T6,被动ETF
T6_23,T6,被动ETF
T6_24,T6,被动ETF
T6_25,T6,被动ETF
T6_26,T6,被动ETF
T6_27,T6,被动ETF
T6_28,T6,被动ETF
T6_29,T6,被动ETF
T6_30,T6,被动ETF
T6_31,T6,被动ETF
T6_32,T6,被动ETF
T6_33,T6,被动ETF
T6_34,T6,被动ETF
T6_35,T6,被动ETF
T6_36,T6,被动ETF
T6_37,T6,被动ETF
T6_38,T6,被动ETF
T6_39,T6,被动ETF
T6_40,T6,被动ETF
T6_41,T6,被动ETF
T6_42,T6,被动ETF
T6_43,T6,被动ETF
T6_44,T6,被动ETF
T6_45,T6,被动ETF
T6_46,T6,被动ETF
T6_47,T6,被动ETF
T6_48,T6,被动ETF
T6_49,T6,被动ETF
T6_50,T6,被动ETF
