strategy_name,holding_period,turnover_rate,buy_sell_ratio,hhi_concentration,disposition_effect,positive_trade_ratio,etf_ratio,avg_price_preference,position_uniformity,avg_loss_magnitude,vol_preference,trend_preference
etf动量改,14.0,0.9889624724061811,0.9994337474893419,0.14173130015784505,2.581818181818182,0.7208121827411168,1.0,3.214253969474562,0.3483596903988854,0.03838021397392732,0.950555301682646,0.170852224019021
中证1000增强,11.0,1.9855072463768115,0.9978228759134609,0.010047600714619347,1.139442231075697,0.5325884543761639,0.0,23.591142790238543,0.5870580631259072,0.05947648535317606,0.8946325864832274,0.03895479258534844
中证2000增强,5.0,1.410752688172043,1.0076965351967835,0.011410604149745956,1.3670411985018727,0.5658914728682171,0.0,13.05531249661998,0.7167564812419608,0.04311399751826413,0.73706730048045,0.015727428030298467
中证800增强,14.0,1.6963239211507726,0.9996994249160792,0.014717699695100513,1.4318418314255983,0.5887890457851946,0.0,32.844535780833716,0.4240669699143758,0.06003809055361311,0.7729175992035858,0.02838030015446707
养殖etf增强,14.0,0.8115942028985508,1.0074558457845002,0.08631722730604123,2.1486486486486487,0.6824034334763949,0.0,17.766630319394313,0.5251740813827255,0.03205266501586743,0.9282052943295942,0.08402881580500203
军工etf增强,56.0,0.984375,0.977352418173266,0.10378553791678685,3.666666666666667,0.7857142857142857,0.0,28.332381061446373,0.4626335631114448,0.09967310238268123,0.552890367848494,0.3684085471110138
创业板300ETF增强,12.0,0.7343623070674249,0.9949076553162146,0.01488352397617781,0.8122448979591836,0.44419642857142855,0.36836283185840707,10.35129424778761,0.7217837564696497,0.038173271163473924,1.0985742170006563,0.03486379902786834
创业板增强,7.0,1.5714285714285714,0.9976350049763171,0.0248935970619573,1.536723163841808,0.6057906458797327,0.0,64.18582728895969,0.583667954361973,0.05630052255439967,1.197693379821409,0.3011655048199303
动量趋势策略,2.0,7.517699115044247,0.9997988053691278,0.10084795161729901,0.4054726368159204,0.2884955752212389,0.44084755738669806,63.18473558359424,0.639113301256894,0.01688895553859928,0.7456156858760894,0.042456015028305504
化工ETF优选策略,14.0,0.8995535714285714,1.0208506370939425,0.07673932308219075,2.329411764705882,0.6996466431095406,0.0,22.17865413680476,0.5318242505655506,0.030993589984385568,0.8253430145553513,0.19252647631710224
医疗etf增强,12.0,1.0463576158940397,0.9991750698580949,0.08542738815403741,0.7650602409638554,0.42905405405405406,0.0,23.78913506676879,0.5990309506620187,0.03450839790876641,0.7806609287410767,0.08430395728263143
半导体优选策略,42.0,0.6272321428571429,1.0698413502419264,0.09608289351942402,2.660377358490566,0.7268041237113402,0.0,39.769856207573035,0.4014111130589908,0.05858939934074511,0.6474143980413081,0.0760968946199136
双创50增强,33.0,0.43033509700176364,1.0350149927224273,0.019584460158230385,0.7965367965367964,0.43601895734597157,0.0,85.25806009964865,0.5476208479426332,0.11625939395629759,0.9065459103767677,-0.00023647052966394854
国企etf增强,7.0,1.296875,0.9992730400432829,0.029931518484726426,1.289473684210526,0.5632183908045977,0.0,15.299527780717252,0.6498224518715265,0.020461896240430214,1.4125535746680953,0.011849837860456455
国证2000ETF增强,11.0,0.7294882209585702,1.0002688176705425,0.027606038884283264,0.6742424242424242,0.3991031390134529,0.37082405345211583,15.896610244988864,0.7391844465880868,0.03683366574722091,1.3591335720036986,0.014844376472103741
均衡持仓,35.0,2.642857142857143,1.0019872082058192,0.020917454783990833,4.631205673758865,0.8224181360201511,0.03800675675675676,13.216641240139207,0.3995965684192403,0.041291114257406655,0.6106533178711182,0.09651252502710188
