strategy_name,n_trades,date_start,date_end
etf动量改,448,2025-01-02,2026-03-31
中证1000增强,822,2025-01-06,2026-02-24
中证2000增强,1312,2023-09-13,2026-03-31
中证800增强,3184,2021-01-04,2026-02-24
养殖etf增强,336,2025-01-06,2026-02-24
军工etf增强,441,2025-01-06,2026-03-30
创业板300ETF增强,904,2023-01-03,2026-05-18
创业板增强,704,2025-01-06,2026-03-30
动量趋势策略,3398,2025-01-02,2026-03-30
化工ETF优选策略,403,2025-01-06,2026-03-30
医疗etf增强,474,2025-01-02,2026-03-31
半导体优选策略,281,2025-01-06,2026-03-30
双创50增强,732,2021-08-02,2026-03-30
国企etf增强,581,2025-01-06,2026-03-30
国证2000ETF增强,898,2023-01-03,2026-05-18
均衡持仓,1184,2025-01-06,2026-03-30
形态识别,5767,2019-12-31,2026-02-27
成长红利量化选股,2142,2020-01-02,2026-03-02
房地产etf增强,265,2025-01-06,2026-02-24
旅游etf增强,1004,2025-01-06,2026-03-30
朝花夕拾策略,250,2025-01-15,2026-05-18
机器人ETF优选策略,366,2025-01-06,2026-03-30
杠铃,1140,2025-01-06,2026-03-30
沪深300增强策略,97,2025-01-02,2026-03-02
游戏etf增强,462,2025-01-06,2026-03-30
煤炭周期优选动态轮动策略,279,2025-01-06,2026-03-30
申万动量,224,2025-01-08,2026-03-30
科创参数加强板,1761,2021-08-02,2026-03-30
综合全,522,2025-01-02,2026-03-31
综合拆分1,500,2025-01-02,2026-03-31
综合拆分2,519,2025-01-02,2026-03-31
行业etf增强,503,2025-01-03,2026-03-31
计算机ETF优选策略,283,2025-01-06,2026-03-30
通信etf增强,347,2025-01-06,2026-02-24
酒etf增强,537,2025-01-06,2026-03-30
锤子策略,435,2025-01-06,2026-03-30
食品etf增强,233,2025-01-06,2026-02-24
