user_id,source_strategy,source_strategy_idx,n_trades_original,n_trades_perturbed
U_00_00,etf动量改,0,448,389
U_00_01,etf动量改,0,448,379
U_00_02,etf动量改,0,448,415
U_00_03,etf动量改,0,448,396
U_00_04,etf动量改,0,448,402
U_00_05,etf动量改,0,448,408
U_00_06,etf动量改,0,448,412
U_00_07,etf动量改,0,448,423
U_00_08,etf动量改,0,448,430
U_00_09,etf动量改,0,448,401
U_00_10,etf动量改,0,448,396
U_00_11,etf动量改,0,448,422
U_00_12,etf动量改,0,448,416
U_00_13,etf动量改,0,448,383
U_00_14,etf动量改,0,448,390
U_00_15,etf动量改,0,448,412
U_00_16,etf动量改,0,448,414
U_00_17,etf动量改,0,448,386
U_00_18,etf动量改,0,448,383
U_00_19,etf动量改,0,448,423
U_01_00,中证1000增强,1,822,706
U_01_01,中证1000增强,1,822,739
U_01_02,中证1000增强,1,822,712
U_01_03,中证1000增强,1,822,712
U_01_04,中证1000增强,1,822,772
U_01_05,中证1000增强,1,822,799
U_01_06,中证1000增强,1,822,757
U_01_07,中证1000增强,1,822,721
U_01_08,中证1000增强,1,822,717
U_01_09,中证1000增强,1,822,779
U_01_10,中证1000增强,1,822,765
U_01_11,中证1000增强,1,822,717
U_01_12,中证1000增强,1,822,819
U_01_13,中证1000增强,1,822,781
U_01_14,中证1000增强,1,822,763
U_01_15,中证1000增强,1,822,786
U_01_16,中证1000增强,1,822,758
U_01_17,中证1000增强,1,822,764
U_01_18,中证1000增强,1,822,745
U_01_19,中证1000增强,1,822,717
U_02_00,中证2000增强,2,1312,1207
U_02_01,中证2000增强,2,1312,1145
U_02_02,中证2000增强,2,1312,1141
U_02_03,中证2000增强,2,1312,1223
U_02_04,中证2000增强,2,1312,1136
U_02_05,中证2000增强,2,1312,1204
U_02_06,中证2000增强,2,1312,1233
U_02_07,中证2000增强,2,1312,1206
U_02_08,中证2000增强,2,1312,1269
U_02_09,中证2000增强,2,1312,1213
U_02_10,中证2000增强,2,1312,1174
U_02_11,中证2000增强,2,1312,1307
U_02_12,中证2000增强,2,1312,1248
U_02_13,中证2000增强,2,1312,1239
U_02_14,中证2000增强,2,1312,1158
U_02_15,中证2000增强,2,1312,1142
U_02_16,中证2000增强,2,1312,1293
U_02_17,中证2000增强,2,1312,1176
U_02_18,中证2000增强,2,1312,1227
U_02_19,中证2000增强,2,1312,1193
U_03_00,中证800增强,3,3184,3045
U_03_01,中证800增强,3,3184,2934
U_03_02,中证800增强,3,3184,2994
U_03_03,中证800增强,3,3184,2851
U_03_04,中证800增强,3,3184,2855
U_03_05,中证800增强,3,3184,2983
U_03_06,中证800增强,3,3184,2841
U_03_07,中证800增强,3,3184,2831
U_03_08,中证800增强,3,3184,2908
U_03_09,中证800增强,3,3184,2892
U_03_10,中证800增强,3,3184,2807
U_03_11,中证800增强,3,3184,3088
U_03_12,中证800增强,3,3184,2922
U_03_13,中证800增强,3,3184,2994
U_03_14,中证800增强,3,3184,2902
U_03_15,中证800增强,3,3184,2849
U_03_16,中证800增强,3,3184,2876
U_03_17,中证800增强,3,3184,2717
U_03_18,中证800增强,3,3184,3104
U_03_19,中证800增强,3,3184,2967
