code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
,,,,,2019-12-02,10.4900,11.4500,10.3900,11.2700,10.5100,32937421,366382988.4800,7.231200,2.333100,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-03,11.3400,11.8800,11.3300,11.7500,11.2700,43459974,505031721.9200,4.259100,3.078400,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-04,11.7300,11.8800,11.3800,11.4600,11.7500,37226125,431615819.4800,-2.468100,2.636900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-05,11.5000,11.6300,10.6900,10.7600,11.4600,54271486,597452088.0500,-6.108200,3.844300,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-06,10.8100,10.8300,10.0500,10.1400,10.7600,52559781,539979519.3900,-5.762100,3.723000,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-09,10.1400,10.2300,9.8600,10.0500,10.1400,30040284,301287633.0800,-0.887600,2.127900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-10,10.0000,10.1400,9.8400,10.0000,10.0500,22980800,229624635.9200,-0.497500,1.627800,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-11,9.9500,10.1900,9.7500,10.1600,10.0000,27806774,279375749.8800,1.600000,1.969700,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-12,10.1100,10.1100,9.7900,9.8400,10.1600,21164231,210149819.8700,-3.149600,1.499100,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-13,9.8300,9.9000,9.8000,9.8300,9.8400,14722755,144859016.4800,-0.101600,1.042900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-16,9.8500,9.8900,9.6100,9.7600,9.8300,17331028,167964275.9500,-0.712100,1.227600,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-17,9.7000,9.8900,9.6500,9.8300,9.7600,15654279,153460136.1000,0.717200,1.108900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-18,9.7900,9.8800,9.7600,9.8300,9.8300,11845664,116358562.0700,0.000000,0.839100,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-19,9.8200,9.9100,9.7800,9.8500,9.8300,11046791,108693610.1000,0.203500,0.782500,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-20,9.8800,10.6900,9.8500,10.5900,9.8500,36633486,376179939.7300,7.512700,2.594900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-23,10.4400,10.8900,10.1000,10.1600,10.5900,26522431,279095502.1100,-4.060400,1.878700,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-24,10.1200,10.5300,10.1200,10.3200,10.1600,17230249,178029851.2600,1.574800,1.220500,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-25,10.3200,10.4800,10.1100,10.2100,10.3200,13992230,143168378.4400,-1.065900,0.991100,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-26,10.1900,10.2500,10.0800,10.2400,10.2100,9983797,101424500.5300,0.293800,0.707200,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-27,10.3400,10.5000,10.1500,10.1600,10.2400,13587872,140176170.0100,-0.781200,0.962500,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-30,10.2500,10.2500,9.9200,9.9800,10.1600,13943890,139608041.0100,-1.771700,0.987700,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-31,9.9800,10.0200,9.8700,9.9700,9.9800,8965489,89293011.9900,-0.100200,0.635100,1,0,none,baostock,query_history_k_data_plus
,,,,,2020-01-02,10.0400,10.2500,10.0000,10.1500,9.9700,10773005,109228406.3300,1.805400,0.763100,1,0,none,baostock,query_history_k_data_plus
,,,,,2020-01-03,10.2600,10.4800,10.1900,10.3400,10.1500,14786306,152993275.2500,1.871900,1.047400,1,0,none,baostock,query_history_k_data_plus
,,,,,2020-01-06,10.3300,10.4000,10.1200,10.2200,10.3400,11698984,119859898.6000,-1.160500,0.828700,1,0,none,baostock,query_history_k_data_plus
,,,,,2020-01-07,10.2600,10.3900,10.2400,10.3600,10.2200,10692179,110331784.0000,1.369900,0.757400,1,0,none,baostock,query_history_k_data_plus
